# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 28 05:32:23 2022
#
# User preference: *
#
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_orbsmax,pl_radj,pl_massj,st_rad,st_mass,ra,dec,sy_dist,sy_gaiamag
Kepler-1042 b,Kepler-1042,0.075600,,,0.56,0.56,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,0.075600,,,0.56,0.56,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,0.085000,,,0.82,0.80,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,0.075600,,,0.56,0.56,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,0.075600,,,0.56,0.56,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,,0.195,,0.72,0.75,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,,,,,,288.6689428,39.8239935,,15.6716000
Kepler-1042 b,Kepler-1042,,,,,,288.6689428,39.8239935,,15.6716000
Kepler-1064 b,Kepler-1064,,0.138,,0.79,0.85,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,0.119000,,,0.71,0.81,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,,,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,0.118300,,,0.77,0.81,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,,,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,0.112600,,,0.64,0.69,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,,,,,,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,0.112600,,,0.64,0.69,291.7415821,37.6888103,,13.7409000
Kepler-1064 b,Kepler-1064,0.112600,,,0.64,0.69,291.7415821,37.6888103,,13.7409000
Kepler-1076 b,Kepler-1076,0.058000,,,0.67,0.69,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.061100,,,0.75,0.81,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.061100,,,0.75,0.81,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.061100,,,0.75,0.81,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,,0.071,,0.74,0.79,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,,,,0.73,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,,,,0.73,,287.5902594,51.0606047,,12.9489000
Kepler-1076 b,Kepler-1076,0.061100,,,0.75,0.81,287.5902594,51.0606047,,12.9489000
Kepler-1281 b,Kepler-1281,0.041500,,,0.86,0.98,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,0.040000,,,0.80,0.90,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,0.041500,,,0.86,0.98,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,0.041500,,,0.86,0.98,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,,,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,,,,,,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,,0.146,,0.83,0.87,295.3543571,48.5153932,,15.9970000
Kepler-1281 b,Kepler-1281,0.041500,,,0.86,0.98,295.3543571,48.5153932,,15.9970000
Kepler-1309 b,Kepler-1309,,,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,,,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,0.167900,,,0.79,0.76,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,0.167900,,,0.79,0.76,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,0.167900,,,0.79,0.76,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,0.167900,,,0.79,0.76,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,0.168000,,,0.77,0.76,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,,0.211,,0.80,0.85,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,,,,,,298.7351131,40.7641262,,16.1875000
Kepler-1314 b,Kepler-1314,0.050400,,,0.59,0.58,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,,,,0.26,0.23,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,,0.456,,0.59,0.60,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,0.050400,,,0.59,0.58,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,0.050400,,,0.59,0.58,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,0.050400,,,0.59,0.58,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,0.036000,,,0.27,0.21,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,,,,0.26,0.23,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,,,,0.26,0.23,294.2373599,45.1968274,,17.1206000
Kepler-1347 b,Kepler-1347,,,,0.80,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.106000,,,0.73,0.81,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,,,,0.80,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.104000,,,0.77,0.76,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.104000,,,0.77,0.76,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,,0.092,,0.79,0.82,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,,,,0.80,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.104000,,,0.77,0.76,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.104000,,,0.77,0.76,299.6595903,40.8438526,,13.4122000
Kepler-1384 b,Kepler-1384,,0.173,,0.74,0.78,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,,,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,,,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,,,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,0.112600,,,0.85,0.81,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,0.117000,,,1.00,0.91,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,0.112600,,,0.85,0.81,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,0.112600,,,0.85,0.81,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,0.112600,,,0.85,0.81,296.2151275,39.5270248,,15.4460000
Kepler-1392 b,Kepler-1392,,0.175,,0.85,0.88,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,0.118900,,,0.89,0.98,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,0.121000,,,0.85,1.04,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,0.118900,,,0.89,0.98,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,0.118900,,,0.89,0.98,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,,,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,,,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,0.118900,,,0.89,0.98,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,,,,,,288.7669819,46.3944497,,15.6665000
Kepler-14 b,Kepler-14,,1.134,,2.16,1.52,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,0.078000,,,1.63,1.37,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,0.078700,,,2.08,1.39,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,0.077100,1.126,7.68000,2.09,1.32,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,,,,2.00,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,,,,2.00,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,0.076900,,,2.00,1.31,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,0.078700,,,2.08,1.39,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,0.078700,,,2.08,1.39,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,,,,2.00,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,,1.136,8.40000,2.05,1.51,287.7088140,47.3330500,,
Kepler-1410 b,Kepler-1410,0.247000,,,0.52,0.54,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,,,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,,0.159,,0.60,0.63,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,0.254300,0.192,,0.57,0.59,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,,,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,0.246500,,,0.52,0.54,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,0.247000,,,0.52,0.54,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,,,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,0.250000,,,0.53,0.56,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,0.247000,,,0.52,0.54,290.5102933,38.7435010,,15.9484000
Kepler-1418 b,Kepler-1418,,,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,,,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,,,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,0.130900,,,0.57,0.59,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,0.138000,,,0.61,0.69,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,0.131000,,,0.57,0.59,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,0.130900,,,0.57,0.59,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,0.130900,,,0.57,0.59,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,,0.148,,0.72,0.77,282.9975322,41.6785900,,15.2813000
Kepler-1423 b,Kepler-1423,0.158600,,,1.78,0.93,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,,0.095,,0.75,0.79,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,0.158600,,,1.78,0.93,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,0.158600,,,1.78,0.93,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,0.158600,,,1.78,0.93,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,,,,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,0.158000,,,2.05,0.92,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,,,,,,288.2437481,41.1100655,,14.5581000
Kepler-1427 b,Kepler-1427,,,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,,0.098,,1.01,1.01,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,0.019600,,,1.01,1.07,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,0.019700,,,1.00,1.08,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,0.019600,,,1.01,1.07,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,0.020000,,,0.99,1.05,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,,,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,0.019600,,,1.01,1.07,295.3496546,45.1145372,,15.4816000
Kepler-1433 b,Kepler-1433,0.052300,,,1.04,1.11,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,0.052300,,,1.04,1.11,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,,0.139,,1.19,1.14,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,,,,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,0.052000,,,0.99,1.08,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,0.051600,,,1.15,1.07,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,,0.371,,3.34,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,0.052300,,,1.04,1.11,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,,,,,,287.3634559,49.4568649,,
Kepler-1497 b,Kepler-1497,0.083200,,,1.00,1.00,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,,0.148,,0.95,0.96,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,0.083200,,,1.00,1.00,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,0.083200,,,1.00,1.00,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,,,,,,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,0.081700,,,1.15,0.95,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,,,,,,296.1961550,45.6343124,,15.3761000
Kepler-1498 b,Kepler-1498,,0.119,,0.81,0.86,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,0.243200,,,0.89,0.83,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,0.252800,,,1.45,0.93,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,,,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,,,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,0.243200,,,0.89,0.83,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,0.243200,,,0.89,0.83,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,,,,,,284.7780883,44.9167513,,15.0997000
Kepler-1512 b,Kepler-1512,,,,0.74,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,,0.105,,0.67,0.73,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,0.129400,,,0.70,0.70,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,0.129400,,,0.70,0.70,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,0.129400,,,0.70,0.70,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,,,,0.74,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,0.109700,0.071,,0.39,0.42,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,0.102500,,,0.34,0.35,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,,,,0.74,,289.2744976,44.4704056,,13.2634000
Kepler-1534 b,Kepler-1534,0.059900,,,0.88,0.88,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,,,,,,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,,,,,,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,0.059900,,,0.88,0.88,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,,0.169,,0.86,0.90,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,0.059900,,,0.88,0.88,292.3953730,43.8691326,,16.2352000
Kepler-1579 b,Kepler-1579,0.014000,,,0.51,0.50,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,,0.075,,0.70,0.75,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,0.014000,,,0.50,0.50,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,0.014000,,,0.50,0.50,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,,,,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,,,,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,0.014000,,,0.50,0.50,293.2880220,43.5149061,,15.2481000
Kepler-1608 b,Kepler-1608,0.112600,,,0.75,0.70,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,,,,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,,,,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,,0.154,,0.72,0.75,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,0.112600,,,0.75,0.70,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,0.112600,,,0.75,0.70,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,0.112600,,,0.75,0.70,295.5635550,39.4175700,,15.8947000
Kepler-1628 b,Kepler-1628,0.295600,,,0.59,0.59,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,,,,,,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,0.295200,,,0.58,0.59,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,,,,,,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,0.295600,,,0.59,0.59,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,,0.574,,0.52,0.55,281.6336936,43.4115547,,16.9534000
Kepler-1652 b,Kepler-1652,0.157600,,,0.35,0.36,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,0.166700,,,0.40,0.43,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,,,,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,0.157600,,,0.35,0.36,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,0.178000,,,0.50,0.52,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,0.165400,0.143,,0.38,0.40,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,0.157600,,,0.35,0.36,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,,,,,,294.3660313,49.9150219,,16.0023000
Kepler-1653 b,Kepler-1653,,,,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,,,,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,0.483600,,,0.79,0.77,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,0.470600,0.194,,0.69,0.72,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,0.465100,,,0.70,0.68,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,,0.221,,1.06,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,0.465100,,,0.70,0.68,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,0.465100,,,0.70,0.68,296.4577020,41.2660210,,
Kepler-1676 b,Kepler-1676,0.193100,,,1.00,1.07,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,0.193100,,,1.00,1.07,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,0.193000,,,0.98,1.07,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,0.193100,,,1.00,1.07,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,0.195400,,,1.64,1.11,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,,,,1.06,,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,,0.301,,1.06,,287.2368778,43.5671665,,
