# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 28 01:02:29 2022
#
# User preference: *
#
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_rade,pl_radj,pl_masse,pl_massj,ra,dec,sy_dist,sy_gaiamag
Kepler-1281 b,Kepler-1281,1.690,,,,295.3543571,48.5153932,,15.9970000
Kepler-1309 b,Kepler-1309,,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,2.660,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,2.270,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,2.270,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,2.270,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,2.100,,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,2.370,0.211,,,298.7351131,40.7641262,,16.1875000
Kepler-1309 b,Kepler-1309,,,,,298.7351131,40.7641262,,16.1875000
Kepler-1314 b,Kepler-1314,5.150,,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,,,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,5.110,0.456,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,5.200,,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,5.200,,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,5.200,,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,4.000,,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,,,,,294.2373599,45.1968274,,17.1206000
Kepler-1314 b,Kepler-1314,,,,,294.2373599,45.1968274,,17.1206000
Kepler-1347 b,Kepler-1347,,,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.940,,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,,,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.990,,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.990,,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,1.030,0.092,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,,,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.990,,,,299.6595903,40.8438526,,13.4122000
Kepler-1347 b,Kepler-1347,0.980,,,,299.6595903,40.8438526,,13.4122000
Kepler-1384 b,Kepler-1384,1.940,0.173,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,2.210,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,2.800,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,2.210,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,2.210,,,,296.2151275,39.5270248,,15.4460000
Kepler-1384 b,Kepler-1384,1.800,,,,296.2151275,39.5270248,,15.4460000
Kepler-1392 b,Kepler-1392,1.960,0.175,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,2.040,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,2.200,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,1.930,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,2.040,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,2.040,,,,288.7669819,46.3944497,,15.6665000
Kepler-1392 b,Kepler-1392,,,,,288.7669819,46.3944497,,15.6665000
Kepler-14 b,Kepler-14,12.710,1.134,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,10.000,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,12.210,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,12.621,1.126,2440.93440,7.68000,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,9.860,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,12.210,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,12.210,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,,,,,287.7088140,47.3330500,,
Kepler-14 b,Kepler-14,12.733,1.136,2669.66000,8.40000,287.7088140,47.3330500,,
Kepler-1410 b,Kepler-1410,1.560,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,1.780,0.159,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,2.150,0.192,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,1.390,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,1.560,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,1.410,,,,290.5102933,38.7435010,,15.9484000
Kepler-1410 b,Kepler-1410,1.560,,,,290.5102933,38.7435010,,15.9484000
Kepler-1418 b,Kepler-1418,,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,1.320,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,1.380,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,1.210,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,1.320,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,1.320,,,,282.9975322,41.6785900,,15.2813000
Kepler-1418 b,Kepler-1418,1.660,0.148,,,282.9975322,41.6785900,,15.2813000
Kepler-1423 b,Kepler-1423,2.620,,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,1.060,0.095,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,2.620,,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,2.840,,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,2.620,,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,,,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,3.400,,,,288.2437481,41.1100655,,14.5581000
Kepler-1423 b,Kepler-1423,,,,,288.2437481,41.1100655,,14.5581000
Kepler-1427 b,Kepler-1427,,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,1.100,0.098,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,1.090,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,1.080,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,1.090,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,1.250,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,,,,,295.3496546,45.1145372,,15.4816000
Kepler-1427 b,Kepler-1427,1.090,,,,295.3496546,45.1145372,,15.4816000
Kepler-1433 b,Kepler-1433,1.330,,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,1.330,,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,1.560,0.139,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,,,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,1.290,,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,1.430,,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,4.157,0.371,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,1.330,,,,287.3634559,49.4568649,,
Kepler-1433 b,Kepler-1433,,,,,287.3634559,49.4568649,,
Kepler-1497 b,Kepler-1497,1.690,,,,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,1.660,0.148,,,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,1.690,,,,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,1.690,,,,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,,,,,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,1.940,,,,296.1961550,45.6343124,,15.3761000
Kepler-1497 b,Kepler-1497,,,,,296.1961550,45.6343124,,15.3761000
Kepler-1498 b,Kepler-1498,1.330,0.119,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,1.460,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,2.360,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,1.460,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,1.460,,,,284.7780883,44.9167513,,15.0997000
Kepler-1498 b,Kepler-1498,,,,,284.7780883,44.9167513,,15.0997000
Kepler-1512 b,Kepler-1512,,,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,1.180,0.105,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,1.240,,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,1.240,,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,1.240,,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,,,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,0.800,0.071,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,0.800,,,,289.2744976,44.4704056,,13.2634000
Kepler-1512 b,Kepler-1512,,,,,289.2744976,44.4704056,,13.2634000
Kepler-1534 b,Kepler-1534,1.920,,,,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,,,,,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,,,,,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,1.950,,,,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,1.890,0.169,,,292.3953730,43.8691326,,16.2352000
Kepler-1534 b,Kepler-1534,1.950,,,,292.3953730,43.8691326,,16.2352000
Kepler-1579 b,Kepler-1579,0.590,,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,0.840,0.075,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,0.590,,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,0.590,,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,,,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,,,,,293.2880220,43.5149061,,15.2481000
Kepler-1579 b,Kepler-1579,0.590,,,,293.2880220,43.5149061,,15.2481000
Kepler-1608 b,Kepler-1608,1.630,,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,,,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,,,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,1.730,0.154,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,1.800,,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,1.800,,,,295.5635550,39.4175700,,15.8947000
Kepler-1608 b,Kepler-1608,1.800,,,,295.5635550,39.4175700,,15.8947000
Kepler-1628 b,Kepler-1628,7.240,,,,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,,,,,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,6.280,,,,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,,,,,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,7.240,,,,281.6336936,43.4115547,,16.9534000
Kepler-1628 b,Kepler-1628,6.430,0.574,,,281.6336936,43.4115547,,16.9534000
Kepler-1652 b,Kepler-1652,1.120,,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,1.580,,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,,,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,1.120,,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,1.390,,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,1.600,0.143,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,1.120,,,,294.3660313,49.9150219,,16.0023000
Kepler-1652 b,Kepler-1652,,,,,294.3660313,49.9150219,,16.0023000
Kepler-1653 b,Kepler-1653,,,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,,,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,1.840,,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,2.170,0.194,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,1.730,,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,2.478,0.221,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,1.730,,,,296.4577020,41.2660210,,
Kepler-1653 b,Kepler-1653,1.730,,,,296.4577020,41.2660210,,
Kepler-1676 b,Kepler-1676,1.880,,,,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,1.880,,,,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,2.100,,,,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,1.880,,,,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,3.090,,,,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,,,,,287.2368778,43.5671665,,
Kepler-1676 b,Kepler-1676,3.377,0.301,,,287.2368778,43.5671665,,
Kepler-1688 b,Kepler-1688,2.530,,,,289.5530051,41.2978532,,13.9862000
Kepler-1688 b,Kepler-1688,,,,,289.5530051,41.2978532,,13.9862000
Kepler-1688 b,Kepler-1688,2.530,,,,289.5530051,41.2978532,,13.9862000
Kepler-1688 b,Kepler-1688,2.530,,,,289.5530051,41.2978532,,13.9862000
Kepler-1688 b,Kepler-1688,1.450,,,,289.5530051,41.2978532,,13.9862000
Kepler-1688 b,Kepler-1688,2.300,,,,289.5530051,41.2978532,,13.9862000
Kepler-1688 b,Kepler-1688,,,,,289.5530051,41.2978532,,13.9862000
Kepler-1688 b,Kepler-1688,1.262,0.113,,,289.5530051,41.2978532,,13.9862000
Kepler-1737 b,Kepler-1737,5.410,,,,297.0148111,47.4864170,,15.3741000
Kepler-1737 b,Kepler-1737,5.400,,,,297.0148111,47.4864170,,15.3741000
Kepler-1737 b,Kepler-1737,5.395,0.481,,,297.0148111,47.4864170,,15.3741000
Kepler-1737 b,Kepler-1737,5.410,,,,297.0148111,47.4864170,,15.3741000
Kepler-1737 b,Kepler-1737,5.410,,,,297.0148111,47.4864170,,15.3741000
Kepler-1737 b,Kepler-1737,,,,,297.0148111,47.4864170,,15.3741000
Kepler-1737 b,Kepler-1737,4.200,,,,297.0148111,47.4864170,,15.3741000
Kepler-1737 b,Kepler-1737,,,,,297.0148111,47.4864170,,15.3741000
Kepler-1756 b,Kepler-1756,1.340,,,,294.3649040,40.7208898,,15.6634000
Kepler-1756 b,Kepler-1756,1.340,,,,294.3649040,40.7208898,,15.6634000
Kepler-1756 b,Kepler-1756,1.340,,,,294.3649040,40.7208898,,15.6634000
Kepler-1756 b,Kepler-1756,1.180,,,,294.3649040,40.7208898,,15.6634000
Kepler-1756 b,Kepler-1756,1.340,,,,294.3649040,40.7208898,,15.6634000
Kepler-1756 b,Kepler-1756,1.472,0.131,,,294.3649040,40.7208898,,15.6634000
Kepler-1756 b,Kepler-1756,,,,,294.3649040,40.7208898,,15.6634000
Kepler-1760 b,Kepler-1760,1.830,,,,284.1326058,48.8251452,,14.3017000
Kepler-1760 b,Kepler-1760,1.830,,,,284.1326058,48.8251452,,14.3017000
Kepler-1760 b,Kepler-1760,1.410,,,,284.1326058,48.8251452,,14.3017000
Kepler-1760 b,Kepler-1760,,,,,284.1326058,48.8251452,,14.3017000
Kepler-1760 b,Kepler-1760,2.430,,,,284.1326058,48.8251452,,14.3017000
Kepler-1760 b,Kepler-1760,1.830,,,,284.1326058,48.8251452,,14.3017000
Kepler-1760 b,Kepler-1760,,,,,284.1326058,48.8251452,,14.3017000
Kepler-1760 b,Kepler-1760,2.290,0.204,,,284.1326058,48.8251452,,14.3017000
Kepler-1795 b,Kepler-1795,1.910,,,,286.4792568,39.2698793,,15.7903000
Kepler-1795 b,Kepler-1795,1.770,,,,286.4792568,39.2698793,,15.7903000
Kepler-1795 b,Kepler-1795,1.910,,,,286.4792568,39.2698793,,15.7903000
Kepler-1795 b,Kepler-1795,1.663,0.148,,,286.4792568,39.2698793,,15.7903000
